trip_id,customer_id,driver_id,booking_datetime,pickup_location,drop_location,distance_km,duration_minutes,vehicle_type,payment_method,surge_multiplier,fare,trip_status,cancellation_reason,driver_rating,customer_rating
T000001,C01403,D0303,2025-12-19 14:21:00,Ambience Mall,Noida City Centre,21.3,77,Auto,UPI,1.5,785.25,Completed,,4.5,3.3
T000002,C01182,D0027,2025-04-24 11:36:00,Pragati Maidan,Golf Course Road,9.4,41,SUV,cash,1.0,273.0,Cancelled,Customer Cancelled,,
T000003,C02921,D0451,2025-12-11 09:09:00,DLF Phase 1,Cyber Hub,4.7,17,SUV,cash,1.2,185.4,Completed,,4.3,3.1
T000004,C00867,D0598,2025-06-05 04:37:00,Karol Bagh,Old Delhi Railway Station,11.6,40,Sedan,Credit Card,1.5,456.0,Completed,,4.0,4.8
T000005,C01410,D0160,2025-10-28 16:20:00,Alpha 1,Akshardham,12.0,52,Bike,Upi,2.0,668.0,Completed,,4.7,4.0
T000006,C01983,D0389,2025-01-08 21:04:00,Yamuna Bank,Vasant Kunj,10.0,29,Auto,upi,1.0,258.0,Completed,,4.3,3.7
T000007,C01882,D0584,2025-11-23 00:53:00,DLF Phase 1,Beta 1,27.0,107,Mini,UPI,1.0,669.0,Completed,,3.8,3.2
T000008,C01350,D0520,2025-02-04 08:35:00,Gamma 1,DLF Phase 1,16.6,44,SUV,Wallet,1.0,387.0,Completed,,4.1,3.5
T000009,C01049,D0188,2025-12-20 20:54:00,IGI Airport T1,Mahipalpur,21.0,71,SUV,cash,1.0,507.0,Completed,,,3.2
T000010,C00779,D0066,2025-03-09 16:19:00,Model Town,RK Puram,7.6,27,Bike,Wallet,1.5,327.0,Completed,,3.9,4.1
T000011,C00210,D0327,2025-11-21 02:12:00,DLF Mall of India,Lajpat Nagar,13.8,47,Bike,Cash,1.0,351.0,Completed,,4.2,3.6
T000012,C00040,D0596,2025-08-09 03:46:00,Noida Sector 137,Ambience Mall,19.6,72,Auto,Wallet,2.0,4880.0,Cancelled,Driver Cancelled,,
T000013,C01032,D0417,2025-11-04 08:31:00,Mohan Nagar,Hauz Khas,10.5,36,Auto,cash,1.0,279.5,Completed,,3.5,4.1
T000014,C01398,D0282,2025-12-14 17:32:00,Preet Vihar,Sahibabad,13.8,61,Sedan,Wallet,1.0,379.0,Completed,,3.0,4.8
T000015,C02088,D0482,2025-09-11 05:11:00,Civil Lines,DLF Phase 4,13.5,41,Auto,CASH,1.2,401.4,Completed,,4.3,4.1
T000016,C00749,D0199,2025-02-25 07:13:00,Preet Vihar,Greater Noida West,9.9,39,Mini,upi,1.2,331.8,Completed,,4.4,4.9
T000017,C00862,D0585,2025-12-11 04:20:00,Saket,INA,0.0,94,Auto,Upi,1.0,586.0,Completed,,,4.0
T000018,C01941,D0427,2025-05-18 07:59:00,New Delhi Railway Station,DLF Mall of India,28.1,117,Mini,Upi,1.0,705.5,Completed,,3.6,4.5
T000019,C01292,D0461,2025-06-07 13:36:00,Noida Sector 18,DLF Phase 4,13.1,52,Auto,UPI,1.2,420.6,Completed,,4.9,3.7
T000020,C00574,D0468,2025-05-21 00:52:00,IFFCO Chowk,INA,7.0,27,Bike,CASH,1.0,209.0,Completed,,3.0,3.9
T000021,C01567,D0334,2025-10-13 17:47:00,INA,Vasant Kunj,18.9,63,Bike,upi,1.0,459.5,Completed,,3.1,3.3
T000022,C02961,D0492,2025-10-31 15:02:00,Manesar,Sector 29 Gurugram,12.3,54,Bike,Wallet,2.0,685.0,Completed,,3.5,5.0
T000023,C02401,D0385,2025-01-31 03:03:00,Sahibabad,Yamuna Bank,9.0,29,Sedan,upi,1.0,243.0,Completed,,3.9,4.8
T000024,C00304,D0333,2025-07-31 04:55:00,Kalkaji,Kaushambi,9.7,28,SUV,Wallet,1.0,251.5,Completed,,3.5,4.1
T000025,C02707,D0267,2025-10-13 16:52:00,Mayur Vihar,MG Road,1.6,6,SUV,CASH,1.0,86.0,Completed,,4.9,3.7
T000026,C01827,D0220,2025-04-05 10:29:00,Mahipalpur,Film City Noida,11.5,33,Mini,cash,2.0,577.0,Completed,,,4.5
T000027,C00095,D0144,2025-03-03 20:26:00,Noida Sector 76,Noida Sector 18,24.4,99,Sedan,UPI,1.5,921.0,Completed,,4.8,4.0
T000028,C00067,D0580,2025-08-12 01:32:00,Dilshad Garden,Delta 1,15.3,55,Bike,upi,2.0,779.0,Completed,,4.5,4.1
T000029,C02287,D0116,2025-09-30 05:51:00,Greater Noida West,Red Fort,17.6,60,Auto,,2.0,868.0,Completed,,4.5,4.5
