pickup_location,drop_location,trips,revenue
"Yamuna Bank","Vasant Kunj",10,4812.9
"Ghaziabad Railway Station","New Delhi Railway Station",9,4026.1499999999996
AIIMS,"Noida Sector 137",9,3360.3
"Greater Noida West","Sector 45 Gurugram",9,3686.8
"Malviya Nagar","Mayur Vihar",9,3481.3500000000004
"Knowledge Park",Pitampura,9,4586.7
"Noida Sector 37",Dwarka,9,1156.75
Dwarka,"Logix Mall",9,4335.6
"Cyber City",Sahibabad,9,3991.5
Aerocity,"Defence Colony",8,3721.1499999999996
"Jama Masjid","South Extension",8,3770.35
"DLF Phase 2","Noida City Centre",8,5618.45
"Delta 1","Karol Bagh",8,3817
"Vasant Kunj",Loni,8,2741.2
Indirapuram,"Mohan Nagar",8,6009.2
"Crossings Republik",Saket,8,3822
"Chandni Chowk","Mohan Nagar",8,6244.85
"Sarojini Nagar","Huda City Centre",8,2894.5
"Karol Bagh","Hauz Khas",8,4100.35
"Ghaziabad Railway Station",Indirapuram,8,3378.25
"Anand Vihar Railway Station",Saket,8,2089
"Pragati Maidan","Greater Noida West",8,4905.900000000001
"Old Delhi Railway Station","Sector 56 Gurugram",8,3338.3
"Cyber City","Wave City Center",8,3729.7
Dwarka,"Kashmere Gate",8,4477.35
"DLF Phase 1","Anand Vihar Railway Station",8,3392.1000000000004
"Vasant Kunj","Golf Course Road",8,4006.4
"Noida Sector 78","IFFCO Chowk",7,3055.25
"Noida Sector 137","South Extension",7,3189.6
"Model Town","Kashmere Gate",7,2921.9
"DLF Phase 3","Crossings Republik",7,3324.25
"Udyog Vihar","Green Park",7,3550.35
Manesar,"Vasant Kunj",7,3631.7000000000003
"Noida Sector 137",Indirapuram,7,2724.8999999999996
"Rajouri Garden","Botanical Garden",7,3916.3
"Chandni Chowk",Daryaganj,7,2787.5
"Beta 1",Vaishali,7,4114.7
"Cyber Hub","Wave City Center",7,4214.15
"Connaught Place","Noida Sector 18",7,3406.5
"Malviya Nagar","Greater Kailash",7,3536
"Anand Vihar Railway Station","DLF Phase 2",7,5413.5
Daryaganj,"Crossings Republik",7,4396.4
"Film City Noida",Saket,7,3086
"Airport T3",Saket,7,3973.15
"Jama Masjid","Laxmi Nagar",7,4648.5
"Model Town","Mandi House",7,2674.15
"Karol Bagh","Preet Vihar",7,4109.4
"Golf Course Road","Noida Sector 15",7,3650.2
"Logix Mall","MG Road",7,4643
"Beta 1","Noida City Centre",7,3654.8
"Dilshad Garden","Greater Kailash",7,3572.95
"Noida Sector 37","Hauz Khas",7,1738.95
"Anand Vihar Railway Station","Cyber City",7,4191.1
INA,"Noida Sector 16",7,2820.4
"IFFCO Chowk","New Delhi Railway Station",7,2308.2
Surajpur,"Civil Lines",7,2556.55
"Noida Sector 78","Jama Masjid",7,8453.95
"Knowledge Park","Civil Lines",7,3530.5
"Vasant Kunj",Indirapuram,7,4243.75
Aerocity,"MG Road",7,3239.5
"Pragati Maidan",Pitampura,7,2304.85
"Cyber Hub",Seelampur,7,4324.15
Janakpuri,"DLF Phase 2",7,2282
"Cyber City","Sector 45 Gurugram",7,4906.349999999999
"Civil Lines","Film City Noida",7,2549
Indirapuram,"Ghaziabad Railway Station",7,4733.5
"Nehru Place",Loni,7,6146.95
"Noida Sector 16","Connaught Place",7,2445.3
"Greater Noida West","Pragati Maidan",7,3956.8500000000004
"Sector 56 Gurugram","Old Delhi Railway Station",7,3013.6
"Defence Colony","MG Road",7,6801.5
"Nehru Place",Seelampur,7,3396
"Vasant Kunj","Ghaziabad Railway Station",7,2149.5
"Dilshad Garden","DLF Phase 2",7,4976.5
Seelampur,"Greater Noida West",7,2721.45
"Hauz Khas",Kaushambi,7,4225
"MG Road",Aerocity,7,3454.75
"New Delhi Railway Station","Gamma 1",7,3165.3
"Noida Sector 15",Kalkaji,7,2512.75
"Connaught Place",Bisrakh,7,3804.3
"Mandi House","Noida Sector 63",7,3281.2
"Gamma 1","Noida Sector 78",7,4856.3
Vaishali,"Kashmere Gate",7,3718.75
"Wave City Center","Botanical Garden",7,2593.8
Seelampur,"RK Puram",7,3279
"MG Road","Red Fort",7,3043
Vasundhara,"Civil Lines",7,2608
Loni,"Udyog Vihar",7,3320.5
Seelampur,"Dilshad Garden",7,3615.2
"IFFCO Chowk","Noida Sector 62",7,3315
"Golf Course Road",Janakpuri,7,4265.05
"Sector 14 Gurugram","MG Road",7,3460.45
"IFFCO Chowk",INA,6,1988.25
Kalkaji,Kaushambi,6,2239
"Botanical Garden",Indirapuram,6,2555.8
Surajpur,"Mayur Vihar",6,3562.1
"RK Puram","Nehru Place",6,1869.75
"Airport T3","Dilshad Garden",6,2429.1
"Sector 29 Gurugram",Ecotech,6,2595.6
"Model Town","Gamma 1",6,3122
Seelampur,"Hauz Khas",6,3056
Daryaganj,"Cyber Hub",6,1106.5
"Film City Noida","Pragati Maidan",6,2971
Saket,"Pari Chowk",6,2075.5
AIIMS,Janakpuri,6,3258.95
"Nehru Place","New Delhi Railway Station",6,2484.05
"Old Delhi Railway Station","Sarojini Nagar",6,2564.2000000000003
"DLF Mall of India",Rohini,6,2987.9
"Pari Chowk",Surajpur,6,3210.7
Vasundhara,Janakpuri,6,3580.7
"Noida Sector 62","DLF Phase 2",6,2748.55
"DLF Phase 3",Kaushambi,6,3362
"Crossings Republik","Noida Sector 15",6,2973.7
"Cyber Hub","Vasant Kunj",6,2160.65
"Sohna Road","Noida Sector 76",6,4336.6
"Sector 14 Gurugram","Connaught Place",6,2071.95
"Greater Kailash","Malviya Nagar",6,2238.65
"Knowledge Park","Alpha 1",6,3523.5
"Film City Noida","Kashmere Gate",6,2879.25
Dwarka,"Vasant Kunj",6,2240.1
Bisrakh,"Anand Vihar Railway Station",6,3080.5
"Golf Course Road","DLF Phase 3",6,3550.75
"Model Town","Botanical Garden",6,3341.8999999999996
Surajpur,"Ghaziabad Railway Station",6,2293.6
"Green Park","Noida Sector 37",6,3016.6000000000004
Sahibabad,"Gamma 1",6,2830
"Greater Kailash","Film City Noida",6,3454.5
"Noida Sector 76",Bisrakh,6,3479.55
Kaushambi,Ecotech,6,2358.55
"Karol Bagh",Janakpuri,6,4169.6
"South Extension",Aerocity,6,2957.6
"Ghaziabad Railway Station","Model Town",6,3536.05
"DLF Phase 4",Seelampur,6,2575.5
"Noida Sector 62",Ecotech,6,3028.5
"Sector 56 Gurugram","Green Park",6,3039.25
"Dilshad Garden","Vasant Kunj",6,4003.4000000000005
Rohini,"Noida Sector 137",6,3721.05
Bisrakh,Indirapuram,6,2943.25
"Laxmi Nagar",Indirapuram,6,2579.9
"Crossings Republik","Delta 1",6,4411.25
"Sector 14 Gurugram","Kashmere Gate",6,2760.2
"Green Park","Cyber Hub",6,4234.6
Rohini,"Logix Mall",6,2055.5
"Cyber City",Rohini,6,4329
Bisrakh,"Sector 14 Gurugram",6,2545.5
Rohini,"Red Fort",6,1663.5
Surajpur,"Cyber Hub",6,2342.75
"Beta 1","Golf Course Road",6,3081.6
"Wave City Center","Noida City Centre",6,2826.3
"Film City Noida","Hauz Khas",6,2066.55
"Model Town","Sector 14 Gurugram",6,1721.9
"DLF Mall of India","Model Town",6,3044.95
Surajpur,"Knowledge Park",6,4300.8
"Red Fort","Nehru Place",6,2474.5
"Chandni Chowk","Old Delhi Railway Station",6,3324.1
"Noida Sector 15","Knowledge Park",6,2824.6499999999996
Kalkaji,"New Delhi Railway Station",6,4476.75
Surajpur,ITO,6,3912.4
"Lajpat Nagar","Kashmere Gate",6,1673.8
"Preet Vihar","Defence Colony",6,2895.7
"IFFCO Chowk","Mandi House",6,2059.8999999999996
"Udyog Vihar","IGI Airport T1",6,3292.75
Mahipalpur,"Noida City Centre",6,2663.4
"MG Road","Alpha 1",6,3851
"Sector 14 Gurugram","RK Puram",6,1042.75
"Huda City Centre","Logix Mall",6,1766.5
"Alpha 1",Vasundhara,6,3077.75
"Noida Sector 78","Alpha 1",6,2528.5
"Laxmi Nagar",Aerocity,6,3039.2
"Ghaziabad Railway Station","Mayur Vihar",6,2690.6
INA,Daryaganj,6,3387
"Noida Sector 15","Laxmi Nagar",6,3199.3500000000004
"Greater Noida West","Greater Kailash",6,2246.25
Vaishali,"Film City Noida",6,1511.9
Vaishali,"Sector 56 Gurugram",6,2671.5
"MG Road","Green Park",6,3333.5
"Chandni Chowk","Sohna Road",6,3871.5
"Pari Chowk",Shahdara,6,2303.5
Rohini,"Laxmi Nagar",6,2401
"Airport T3",Pitampura,6,4156.75
"Preet Vihar","Raj Nagar Extension",6,2073
"Rajouri Garden",Sahibabad,6,2555
"Hauz Khas","Pari Chowk",6,2117.25
Loni,"Noida Sector 137",6,3642.5
"South Extension","Dilshad Garden",6,3754
"Mandi House",Sahibabad,6,2169.2
"Rajouri Garden","Yamuna Bank",6,4381.45
"Sohna Road",Indirapuram,6,3149.5
"Noida Sector 62","Noida Sector 63",6,2882.55
